bin_left,bin_right,x_center,dns_count,dns_phi,aibm_count,aibm_phi
-733.7471318500512,-725.6910827803232,-729.7191073151872,36,389.5174059113812,36,343.1603961964728
-725.6910827803232,-717.635033710595,-721.6630582454591,43,312.0434804444678,43,293.1448297381862
-717.635033710595,-709.578984640867,-713.607009175731,42,384.8064931944694,42,246.67433816903687
-709.578984640867,-701.522935571139,-705.550960106003,48,277.84701460563673,48,245.90024456841846
-701.522935571139,-693.4668865014108,-697.494911036275,41,334.42403535010266,41,291.1740710856311
-693.4668865014108,-685.4108374316828,-689.4388619665468,38,467.4194669312213,38,239.51551945243875
-685.4108374316828,-677.3547883619548,-681.3828128968188,53,305.19417597736197,53,231.59059834615678
-677.3547883619548,-669.2987392922266,-673.3267638270906,42,222.6408663049144,42,234.84047569988726
-669.2987392922266,-661.2426902224986,-665.2707147573626,50,437.12075330007775,50,367.787352015468
-661.2426902224986,-653.1866411527706,-657.2146656876346,58,223.97161276892405,58,264.98300863265166
-653.1866411527706,-645.1305920830424,-649.1586166179065,75,230.4648406883081,75,208.1105485543938
-645.1305920830424,-637.0745430133144,-641.1025675481784,58,408.3609660318666,58,225.12119144732105
-637.0745430133144,-629.0184939435863,-633.0465184784504,58,154.3851161769533,58,193.14291897097075
-629.0184939435863,-620.9624448738582,-624.9904694087222,90,235.7358983641541,90,204.20584681638343
-620.9624448738582,-612.9063958041302,-616.9344203389942,72,194.88807535929826,72,220.85521237501777
-612.9063958041302,-604.8503467344021,-608.8783712692662,62,229.89639255565493,62,190.5636712309157
-604.8503467344021,-596.7942976646741,-600.8223221995381,64,198.20091240653704,64,196.35029556734054
-596.7942976646741,-588.738248594946,-592.7662731298101,85,215.37207859151695,85,193.46151019718545
-588.738248594946,-580.6821995252179,-584.7102240600819,82,222.38185797773787,82,189.1260498811608
-580.6821995252179,-572.6261504554898,-576.6541749903538,78,472.92793666420863,78,203.51729405792744
-572.6261504554898,-564.5701013857617,-568.5981259206258,72,152.06135379365628,72,164.5481962206987
-564.5701013857617,-556.5140523160337,-560.5420768508977,80,215.68632167162846,80,161.8355807293388
-556.5140523160337,-548.4580032463057,-552.4860277811697,80,234.09341305501042,80,153.35033485005354
-548.4580032463057,-540.4019541765775,-544.4299787114417,101,208.56438248335786,101,164.65704656829354
-540.4019541765775,-532.3459051068495,-536.3739296417135,84,158.84046307250426,84,166.8655721689297
-532.3459051068495,-524.2898560371214,-528.3178805719854,93,170.34161618119802,93,151.65548559634163
-524.2898560371214,-516.2338069673933,-520.2618315022573,112,166.13613525238478,112,175.7353058128596
-516.2338069673933,-508.1777578976653,-512.2057824325293,114,260.53256755088677,114,173.11130597791745
